"","county","agegp","edugp","ideal","intend","npop"
"1",110101,"15-24","primary and below",1.73521979612114,1.59313761740867,6246.73501599173
"2",110101,"15-24","secondary",1.66167338906239,1.33637398532944,9320.52036604064
"3",110101,"15-24","hs and above",1.585327759519,1.19441091922441,28890.7446179676
"4",110101,"25-34","primary and below",1.86907253387122,1.71595969744922,7454.96917862867
"5",110101,"25-34","secondary",1.73071594668096,1.52897986026071,11123.2815030145
"6",110101,"25-34","hs and above",1.71160515219758,1.37111492037106,34478.7493183568
"7",110101,"35-49","primary and below",1.88728146351008,1.59018983186224,9914.43316081228
"8",110101,"35-49","secondary",1.76999054314407,1.3300330658542,14792.9559932564
"9",110101,"35-49","hs and above",1.69549922267913,1.14313716719945,45853.6108459313
"10",110102,"15-24","primary and below",1.8064720986302,1.51833116062908,7802.45233187169
"11",110102,"15-24","secondary",1.71257657070795,1.34103251723705,10725.5626429865
"12",110102,"15-24","hs and above",1.67545742158266,1.09357766333381,34602.9850251418
"13",110102,"25-34","primary and below",1.88396650924253,1.68707356996434,8745.39612029932
"14",110102,"25-34","secondary",1.84274403672958,1.3919086705188,12021.7708402841
"15",110102,"25-34","hs and above",1.74547820130077,1.29030701421031,38784.8330394166
"16",110102,"35-49","primary and below",1.92887348890937,1.49695295158957,12143.7238275106
"17",110102,"35-49","secondary",1.83987718531098,1.2736465958253,16693.2478522234
"18",110102,"35-49","hs and above",1.81787131503238,1.11318051040421,53856.028320266
"19",110105,"15-24","primary and below",1.87605438720616,1.7175726238221,43326.7668622818
"20",110105,"15-24","secondary",1.71131285813842,1.46279300234216,82126.7012809445
"21",110105,"15-24","hs and above",1.70340723964951,1.26264259998051,183167.531856774
"22",110105,"25-34","primary and below",1.95533363162502,1.83398089340961,59891.0379109588
"23",110105,"25-34","secondary",1.86937368709603,1.61800228126917,113524.588519458
"24",110105,"25-34","hs and above",1.79444213311245,1.44975071537108,253194.373569583
"25",110105,"35-49","primary and below",1.95152457337544,1.65330161998139,59460.6074891801
"26",110105,"35-49","secondary",1.86388983945751,1.45304550984599,112708.699561392
"27",110105,"35-49","hs and above",1.83752839417206,1.28736633242223,251374.692949428
"28",110106,"15-24","primary and below",1.86442646193836,1.70324673249476,27231.746442885
"29",110106,"15-24","secondary",1.74820918514397,1.39659453446317,44045.5436273675
"30",110106,"15-24","hs and above",1.70042707189134,1.26116344008431,86228.7099297474
"31",110106,"25-34","primary and below",1.91415307249928,1.76840296119815,41033.4800596528
"32",110106,"25-34","secondary",1.826599179335,1.58291808555035,66368.9323026275
"33",110106,"25-34","hs and above",1.81889050005399,1.41389327711904,129931.58763772
"34",110106,"35-49","primary and below",1.979237880193,1.63477273649942,45077.8022619305
"35",110106,"35-49","secondary",1.88953157599635,1.4348593386345,72910.3552105255
"36",110106,"35-49","hs and above",1.85178363183444,1.2364584969607,142737.842527544
"37",110107,"15-24","primary and below",1.79064266158454,1.55528904839187,7426.06926245227
"38",110107,"15-24","secondary",1.69104490437758,1.31844968839164,10462.5367639947
"39",110107,"15-24","hs and above",1.68681797087197,1.16036982782958,25593.393973553
"40",110107,"25-34","primary and below",1.91724796319987,1.68749800734742,10977.8829428538
"41",110107,"25-34","secondary",1.82034012650722,1.50204378794922,15466.6620820757
"42",110107,"25-34","hs and above",1.75746871210418,1.31818974349188,37834.4549750705
"43",110107,"35-49","primary and below",1.95083311852428,1.5580548412383,12952.3272357385
"44",110107,"35-49","secondary",1.84255810919392,1.33126124171201,18248.4427620937
